fecha,currency,rate_to_mxn
2025-05-19,EUR,21.9402
2025-05-20,USD,17.1703
2025-05-20,EUR,22.0
2025-05-21,USD,17.1767
2025-05-21,EUR,22.0
2025-05-22,USD,17.1295
2025-05-22,EUR,21.9386
2025-05-23,USD,17.2414
2025-05-23,EUR,21.9846
2025-05-24,USD,17.3271
2025-05-24,EUR,21.8655
2025-05-25,USD,17.5214
2025-05-25,EUR,21.6751
2025-05-26,USD,17.4612
2025-05-26,EUR,21.7288
2025-05-27,USD,17.4966
2025-05-27,EUR,21.7517
2025-05-28,USD,17.4711
2025-05-28,EUR,21.9062
2025-05-29,USD,17.3971
2025-05-29,EUR,21.9164
2025-05-30,USD,17.4342
2025-05-30,EUR,21.8999
2025-05-31,USD,17.5546
2025-05-31,EUR,21.824
2025-06-01,USD,17.5644
2025-06-01,EUR,21.8883
2025-06-02,USD,17.6142
2025-06-02,EUR,22.0
2025-06-03,USD,17.5032
2025-06-03,EUR,22.0
2025-06-04,USD,17.3754
2025-06-04,EUR,21.9016
2025-06-05,USD,17.3362
2025-06-05,EUR,21.9926
2025-06-06,USD,17.42
2025-06-06,EUR,22.0
2025-06-07,USD,17.4389
2025-06-07,EUR,22.0
2025-06-08,USD,17.4838
2025-06-08,EUR,22.0
2025-06-09,USD,17.6281
2025-06-09,EUR,22.0
2025-06-10,USD,17.4927
2025-06-10,EUR,21.9254
2025-06-11,USD,17.558
2025-06-11,EUR,21.7047
2025-06-12,USD,17.6238
2025-06-12,EUR,21.7016
2025-06-13,USD,17.6996
2025-06-13,EUR,21.6817
2025-06-14,USD,17.6708
2025-06-14,EUR,21.5894
2025-06-15,USD,17.6661
2025-06-15,EUR,21.7162
2025-06-16,USD,17.6769
2025-06-16,EUR,21.6263
2025-06-17,USD,17.8504
2025-06-17,EUR,21.6916
2025-06-18,USD,17.8387
2025-06-18,EUR,21.4701
2025-06-19,USD,17.8437
2025-06-19,EUR,21.598
2025-06-20,USD,17.9095
2025-06-20,EUR,21.5249
2025-06-21,USD,17.9041
2025-06-21,EUR,21.5535
2025-06-22,USD,17.9426
2025-06-22,EUR,21.6169
2025-06-23,USD,17.8319
2025-06-23,EUR,21.4801
2025-06-24,USD,17.5899
2025-06-24,EUR,21.4229
2025-06-25,USD,17.4894
2025-06-25,EUR,21.5569
2025-06-26,USD,17.5059
2025-06-26,EUR,21.7144
2025-06-27,USD,17.6298
2025-06-27,EUR,21.6892
2025-06-28,USD,17.5327
2025-06-28,EUR,21.7307
2025-06-29,USD,17.555
2025-06-29,EUR,21.7001
2025-06-30,USD,17.5727
2025-06-30,EUR,21.6728
2025-07-01,USD,17.523
2025-07-01,EUR,21.7658
2025-07-02,USD,17.6993
2025-07-02,EUR,21.6939
2025-07-03,USD,17.5827
2025-07-03,EUR,21.7766
2025-07-04,USD,17.6316
2025-07-04,EUR,21.9387
2025-07-05,USD,17.6726
2025-07-05,EUR,21.8896
2025-07-06,USD,17.7732
2025-07-06,EUR,21.9926
2025-07-07,USD,17.7344
2025-07-07,EUR,21.9804
2025-07-08,USD,17.762
2025-07-08,EUR,21.9453
2025-07-09,USD,17.8157
2025-07-09,EUR,22.0
2025-07-10,USD,17.8015
2025-07-10,EUR,22.0
2025-07-11,USD,17.7995
2025-07-11,EUR,21.9863
2025-07-12,USD,17.9853
2025-07-12,EUR,22.0
2025-07-13,USD,18.0082
2025-07-13,EUR,21.9603
2025-07-14,USD,17.9899
2025-07-14,EUR,21.7838
2025-07-15,USD,17.9977
2025-07-15,EUR,21.9343
2025-07-16,USD,17.9703
2025-07-16,EUR,21.9407
2025-07-17,USD,17.909
2025-07-17,EUR,21.9069
2025-07-18,USD,17.8479
2025-07-18,EUR,22.0
2025-07-19,USD,17.9523
2025-07-19,EUR,22.0
2025-07-20,USD,17.9638
2025-07-20,EUR,21.9396
2025-07-21,USD,18.0432
2025-07-21,EUR,21.8873
2025-07-22,USD,18.0119
2025-07-22,EUR,21.7568
2025-07-23,USD,18.045
2025-07-23,EUR,21.8095
2025-07-24,USD,17.9625
2025-07-24,EUR,21.7672
2025-07-25,USD,17.9426
2025-07-25,EUR,21.959
2025-07-26,USD,17.9257
2025-07-26,EUR,22.0
2025-07-27,USD,17.8872
2025-07-27,EUR,22.0
2025-07-28,USD,17.9437
2025-07-28,EUR,22.0
2025-07-29,USD,17.9762
2025-07-29,EUR,21.9841
2025-07-30,USD,18.0275
2025-07-30,EUR,21.9643
2025-07-31,USD,18.0528
2025-07-31,EUR,21.8448
2025-08-01,USD,17.9415
2025-08-01,EUR,21.8282
2025-08-02,USD,17.9858
2025-08-02,EUR,21.8264
2025-08-03,USD,17.9605
2025-08-03,EUR,21.6593
2025-08-04,USD,17.9245
2025-08-04,EUR,21.7108
2025-08-05,USD,17.9698
2025-08-05,EUR,21.7714
2025-08-06,USD,17.9551
2025-08-06,EUR,21.903
2025-08-07,USD,17.9878
2025-08-07,EUR,22.0
2025-08-08,USD,18.0016
2025-08-08,EUR,22.0
2025-08-09,USD,18.013
2025-08-09,EUR,21.8594
2025-08-10,USD,17.9028
2025-08-10,EUR,21.919
2025-08-11,USD,17.9078
2025-08-11,EUR,21.9585
2025-08-12,USD,17.8575
2025-08-12,EUR,22.0
2025-08-13,USD,17.9313
2025-08-13,EUR,22.0
2025-08-14,USD,17.9346
2025-08-14,EUR,22.0
2025-08-15,USD,17.9622
2025-08-15,EUR,22.0
2025-08-16,USD,18.1183
2025-08-16,EUR,21.9696
2025-08-17,USD,18.0787
2025-08-17,EUR,21.9619
2025-08-18,USD,18.0609
2025-08-18,EUR,21.9355
2025-08-19,USD,18.0285
2025-08-19,EUR,21.9611
2025-08-20,USD,18.009
2025-08-20,EUR,22.0
2025-08-21,USD,18.033
2025-08-21,EUR,21.829
2025-08-22,USD,17.9131
2025-08-22,EUR,21.8975
2025-08-23,USD,17.8645
2025-08-23,EUR,22.0
2025-08-24,USD,17.9418
2025-08-24,EUR,21.7638
2025-08-25,USD,17.9463
2025-08-25,EUR,21.64
2025-08-26,USD,17.862
2025-08-26,EUR,21.659
2025-08-27,USD,17.8914
2025-08-27,EUR,21.622
2025-08-28,USD,17.9471
2025-08-28,EUR,21.5472
2025-08-29,USD,17.8762
2025-08-29,EUR,21.6136
2025-08-30,USD,17.8943
2025-08-30,EUR,21.7978
2025-08-31,USD,17.9446
2025-08-31,EUR,21.7785
2025-09-01,USD,17.9354
2025-09-01,EUR,21.8629
2025-09-02,USD,17.9775
2025-09-02,EUR,22.0
2025-09-03,USD,18.0382
2025-09-03,EUR,21.9067
2025-09-04,USD,17.9604
2025-09-04,EUR,21.9385
2025-09-05,USD,17.9147
2025-09-05,EUR,21.8746
2025-09-06,USD,17.967
2025-09-06,EUR,21.8349
2025-09-07,USD,17.9452
2025-09-07,EUR,21.8165
2025-09-08,USD,18.0373
2025-09-08,EUR,21.8446
2025-09-09,USD,17.9785
2025-09-09,EUR,21.9345
2025-09-10,USD,17.9517
2025-09-10,EUR,22.0
2025-09-11,USD,17.8994
2025-09-11,EUR,22.0
2025-09-12,USD,17.9657
2025-09-12,EUR,21.9602
2025-09-13,USD,17.9212
2025-09-13,EUR,22.0
2025-09-14,USD,17.9642
2025-09-14,EUR,22.0
2025-09-15,USD,17.9276
2025-09-15,EUR,22.0
2025-09-16,USD,18.0197
2025-09-16,EUR,21.9127
2025-09-17,USD,17.9679
2025-09-17,EUR,21.9692
2025-09-18,USD,17.9672
2025-09-18,EUR,21.8831
2025-09-19,USD,17.9246
2025-09-19,EUR,21.8435
2025-09-20,USD,18.0329
2025-09-20,EUR,21.7509
2025-09-21,USD,18.0134
2025-09-21,EUR,21.8026
2025-09-22,USD,17.9847
2025-09-22,EUR,21.7903
2025-09-23,USD,18.0386
2025-09-23,EUR,21.6745
2025-09-24,USD,17.9901
2025-09-24,EUR,21.5935
2025-09-25,USD,17.9568
2025-09-25,EUR,21.6077
2025-09-26,USD,18.0096
2025-09-26,EUR,21.6979
2025-09-27,USD,17.9373
2025-09-27,EUR,21.7361
2025-09-28,USD,17.9463
2025-09-28,EUR,21.7965
2025-09-29,USD,17.871
2025-09-29,EUR,21.8733
2025-09-30,USD,17.8177
2025-09-30,EUR,21.8956
2025-10-01,USD,17.7134
2025-10-01,EUR,21.9567
2025-10-02,USD,17.663
2025-10-02,EUR,21.9495
2025-10-03,USD,17.733
2025-10-03,EUR,22.0
2025-10-04,USD,17.6833
2025-10-04,EUR,21.9707
2025-10-05,USD,17.8433
2025-10-05,EUR,22.0
2025-10-06,USD,17.7807
2025-10-06,EUR,21.862
2025-10-07,USD,17.8595
2025-10-07,EUR,21.9185
2025-10-08,USD,17.8925
2025-10-08,EUR,22.0
2025-10-09,USD,17.9528
2025-10-09,EUR,22.0
2025-10-10,USD,17.8639
2025-10-10,EUR,22.0
2025-10-11,USD,17.8966
2025-10-11,EUR,22.0
2025-10-12,USD,17.9483
2025-10-12,EUR,21.9189
2025-10-13,USD,17.9234
2025-10-13,EUR,21.9031
2025-10-14,USD,17.9239
2025-10-14,EUR,21.8187
2025-10-15,USD,17.8689
2025-10-15,EUR,21.702
2025-10-16,USD,17.8783
2025-10-16,EUR,21.7868
2025-10-17,USD,17.7807
2025-10-17,EUR,21.9878
2025-10-18,USD,17.9486
2025-10-18,EUR,22.0
2025-10-19,USD,17.8929
2025-10-19,EUR,21.9707
2025-10-20,USD,17.8362
2025-10-20,EUR,22.0
2025-10-21,USD,17.79
2025-10-21,EUR,22.0
2025-10-22,USD,17.636
2025-10-22,EUR,22.0
2025-10-23,USD,17.5486
2025-10-23,EUR,21.9406
2025-10-24,USD,17.6985
2025-10-24,EUR,21.8678
2025-10-25,USD,17.6685
2025-10-25,EUR,21.9884
2025-10-26,USD,17.7012
2025-10-26,EUR,21.8402
2025-10-27,USD,17.7066
2025-10-27,EUR,21.9836
2025-10-28,USD,17.5409
2025-10-28,EUR,22.0
2025-10-29,USD,17.4266
2025-10-29,EUR,22.0
2025-10-30,USD,17.3757
2025-10-30,EUR,22.0
2025-10-31,USD,17.3344
2025-10-31,EUR,22.0
2025-11-01,USD,17.3795
2025-11-01,EUR,21.8623
2025-11-02,USD,17.4272
2025-11-02,EUR,21.9559
2025-11-03,USD,17.3873
2025-11-03,EUR,21.8366
2025-11-04,USD,17.4302
2025-11-04,EUR,21.7865
2025-11-05,USD,17.5106
2025-11-05,EUR,21.7996
2025-11-06,USD,17.5129
2025-11-06,EUR,21.8302
2025-11-07,USD,17.4393
2025-11-07,EUR,21.9477
2025-11-08,USD,17.4435
2025-11-08,EUR,21.9209
2025-11-09,USD,17.4654
2025-11-09,EUR,22.0
2025-11-10,USD,17.4164
2025-11-10,EUR,21.9836
2025-11-11,USD,17.4442
2025-11-11,EUR,21.8976
2025-11-12,USD,17.4158
2025-11-12,EUR,21.8775
2025-11-13,USD,17.576
2025-11-13,EUR,21.7713
2025-11-14,USD,17.5472
2025-11-14,EUR,21.8497
2025-11-15,USD,17.5438
2025-11-15,EUR,21.8355
2025-11-16,USD,17.5679
2025-11-16,EUR,21.8554
2025-11-17,USD,17.536
2025-11-17,EUR,21.7984
2025-11-18,USD,17.4221
2025-11-18,EUR,21.806
2025-11-19,USD,17.5788
2025-11-19,EUR,21.7211
2025-11-20,USD,17.7667
2025-11-20,EUR,21.6873
2025-11-21,USD,17.8352
2025-11-21,EUR,21.68
2025-11-22,USD,17.8203
2025-11-22,EUR,21.6673
2025-11-23,USD,17.6607
2025-11-23,EUR,21.5927
2025-11-24,USD,17.6231
2025-11-24,EUR,21.7357
2025-11-25,USD,17.6875
2025-11-25,EUR,21.7862
2025-11-26,USD,17.5954
2025-11-26,EUR,21.8314
2025-11-27,USD,17.5665
2025-11-27,EUR,21.8521
2025-11-28,USD,17.6238
2025-11-28,EUR,21.8631
2025-11-29,USD,17.5705
2025-11-29,EUR,21.8926
2025-11-30,USD,17.7297
2025-11-30,EUR,21.9791
2025-12-01,USD,17.7455
2025-12-01,EUR,21.8989
2025-12-02,USD,17.6788
2025-12-02,EUR,21.8804
2025-12-03,USD,17.6701
2025-12-03,EUR,21.8097
2025-12-04,USD,17.6028
2025-12-04,EUR,22.0
2025-12-05,USD,17.5077
2025-12-05,EUR,22.0
2025-12-06,USD,17.4754
2025-12-06,EUR,21.9575
2025-12-07,USD,17.5164
2025-12-07,EUR,22.0
2025-12-08,USD,17.5653
2025-12-08,EUR,21.9517
2025-12-09,USD,17.5029
2025-12-09,EUR,22.0
2025-12-10,USD,17.4686
2025-12-10,EUR,21.9281
2025-12-11,USD,17.4613
2025-12-11,EUR,22.0
2025-12-12,USD,17.4635
2025-12-12,EUR,22.0
2025-12-13,USD,17.3544
2025-12-13,EUR,22.0
2025-12-14,USD,17.3286
2025-12-14,EUR,21.9349
2025-12-15,USD,17.5435
2025-12-15,EUR,21.9526
2025-12-16,USD,17.6475
2025-12-16,EUR,21.9445
2025-12-17,USD,17.6577
2025-12-17,EUR,22.0
2025-12-18,USD,17.6252
2025-12-18,EUR,21.9718
2025-12-19,USD,17.6438
2025-12-19,EUR,21.7766
2025-12-20,USD,17.7281
2025-12-20,EUR,21.7407
2025-12-21,USD,17.7487
2025-12-21,EUR,21.7508
2025-12-22,USD,17.7468
2025-12-22,EUR,21.8044
2025-12-23,USD,17.7897
2025-12-23,EUR,21.7906
2025-12-24,USD,17.8061
2025-12-24,EUR,21.7989
2025-12-25,USD,17.8727
2025-12-25,EUR,21.6538
2025-12-26,USD,17.7825
2025-12-26,EUR,21.4529
2025-12-27,USD,17.8241
2025-12-27,EUR,21.4866
2025-12-28,USD,17.806
2025-12-28,EUR,21.5804
2025-12-29,USD,17.7236
2025-12-29,EUR,21.5884
2025-12-30,USD,17.5704
2025-12-30,EUR,21.6579
2025-12-31,USD,17.5288
2025-12-31,EUR,21.622
2026-01-01,USD,17.5577
2026-01-01,EUR,21.689
2026-01-02,USD,17.576
2026-01-02,EUR,21.8345
2026-01-03,USD,17.6123
2026-01-03,EUR,21.928
2026-01-04,USD,17.5805
2026-01-04,EUR,21.8763
2026-01-05,USD,17.6276
2026-01-05,EUR,21.7105
2026-01-06,USD,17.5879
2026-01-06,EUR,21.8819
2026-01-07,USD,17.7267
2026-01-07,EUR,21.7751
2026-01-08,USD,17.5152
2026-01-08,EUR,21.8126
2026-01-09,USD,17.5035
2026-01-09,EUR,21.7126
2026-01-10,USD,17.5325
2026-01-10,EUR,21.838
2026-01-11,USD,17.6101
2026-01-11,EUR,21.8652
2026-01-12,USD,17.7368
2026-01-12,EUR,21.8838
2026-01-13,USD,17.712
2026-01-13,EUR,21.9261
2026-01-14,USD,17.6497
2026-01-14,EUR,21.8384
2026-01-15,USD,17.5727
2026-01-15,EUR,21.7841
2026-01-16,USD,17.6316
2026-01-16,EUR,21.7745
2026-01-17,USD,17.5672
2026-01-17,EUR,21.5984
2026-01-18,USD,17.6029
2026-01-18,EUR,21.5094
2026-01-19,USD,17.6197
2026-01-19,EUR,21.5331
2026-01-20,USD,17.4896
2026-01-20,EUR,21.4766
2026-01-21,USD,17.5185
2026-01-21,EUR,21.451
2026-01-22,USD,17.5847
2026-01-22,EUR,21.3767
2026-01-23,USD,17.53
2026-01-23,EUR,21.2366
2026-01-24,USD,17.5731
2026-01-24,EUR,21.2803
2026-01-25,USD,17.5124
2026-01-25,EUR,21.4036
2026-01-26,USD,17.5763
2026-01-26,EUR,21.4197
2026-01-27,USD,17.5932
2026-01-27,EUR,21.292
2026-01-28,USD,17.489
2026-01-28,EUR,21.3057
2026-01-29,USD,17.5779
2026-01-29,EUR,21.3914
2026-01-30,USD,17.6785
2026-01-30,EUR,21.2706
2026-01-31,USD,17.8256
2026-01-31,EUR,21.2281
2026-02-01,USD,17.8295
2026-02-01,EUR,21.1991
2026-02-02,USD,17.7559
2026-02-02,EUR,21.4084
2026-02-03,USD,17.9149
2026-02-03,EUR,21.4116
2026-02-04,USD,17.7425
2026-02-04,EUR,21.4204
2026-02-05,USD,17.8499
2026-02-05,EUR,21.3169
2026-02-06,USD,17.9167
2026-02-06,EUR,21.1325
2026-02-07,USD,18.0091
2026-02-07,EUR,21.1819
2026-02-08,USD,17.9574
2026-02-08,EUR,21.1807
2026-02-09,USD,18.0076
2026-02-09,EUR,21.1505
2026-02-10,USD,18.0564
2026-02-10,EUR,21.1778
2026-02-11,USD,18.0063
2026-02-11,EUR,21.1991
2026-02-12,USD,18.0847
2026-02-12,EUR,21.1247
2026-02-13,USD,18.1925
2026-02-13,EUR,21.2852
2026-02-14,USD,18.1214
2026-02-14,EUR,21.363
2026-02-15,USD,18.2399
2026-02-15,EUR,21.4399
2026-02-16,USD,18.3352
2026-02-16,EUR,21.4256
2026-02-17,USD,18.3199
2026-02-17,EUR,21.4264
2026-02-18,USD,18.3943
2026-02-18,EUR,21.4609
2026-02-19,USD,18.4786
2026-02-19,EUR,21.5722
2026-02-20,USD,18.5721
2026-02-20,EUR,21.5209
2026-02-21,USD,18.5865
2026-02-21,EUR,21.61
2026-02-22,USD,18.6054
2026-02-22,EUR,21.7784
2026-02-23,USD,18.6343
2026-02-23,EUR,21.7377
2026-02-24,USD,18.8185
2026-02-24,EUR,21.8727
2026-02-25,USD,18.8253
2026-02-25,EUR,21.7883
2026-02-26,USD,18.793
2026-02-26,EUR,21.7827
2026-02-27,USD,18.8071
2026-02-27,EUR,21.9017
2026-02-28,USD,18.7802
2026-02-28,EUR,21.7508
2026-03-01,USD,18.8036
2026-03-01,EUR,21.6628
2026-03-02,USD,18.7107
2026-03-02,EUR,21.5488
2026-03-03,USD,18.6809
2026-03-03,EUR,21.4549
2026-03-04,USD,18.6751
2026-03-04,EUR,21.4806
2026-03-05,USD,18.6385
2026-03-05,EUR,21.623
2026-03-06,USD,18.5401
2026-03-06,EUR,21.8192
2026-03-07,USD,18.6733
2026-03-07,EUR,21.9659
2026-03-08,USD,18.6661
2026-03-08,EUR,21.9757
2026-03-09,USD,18.6596
2026-03-09,EUR,21.9583
2026-03-10,USD,18.6098
2026-03-10,EUR,21.909
2026-03-11,USD,18.709
2026-03-11,EUR,22.0
2026-03-12,USD,18.7273
2026-03-12,EUR,22.0
2026-03-13,USD,18.7302
2026-03-13,EUR,21.8338
2026-03-14,USD,18.7765
2026-03-14,EUR,22.0
2026-03-15,USD,18.6679
2026-03-15,EUR,21.9221
2026-03-16,USD,18.6662
2026-03-16,EUR,22.0
2026-03-17,USD,18.5985
2026-03-17,EUR,21.9428
2026-03-18,USD,18.6761
2026-03-18,EUR,21.7199
2026-03-19,USD,18.6161
2026-03-19,EUR,21.8317
2026-03-20,USD,18.6567
2026-03-20,EUR,21.7745
2026-03-21,USD,18.7422
2026-03-21,EUR,21.8646
2026-03-22,USD,18.6011
2026-03-22,EUR,21.9397
2026-03-23,USD,18.6117
2026-03-23,EUR,21.9777
2026-03-24,USD,18.5432
2026-03-24,EUR,22.0
2026-03-25,USD,18.5006
2026-03-25,EUR,22.0
2026-03-26,USD,18.4199
2026-03-26,EUR,22.0
2026-03-27,USD,18.5231
2026-03-27,EUR,22.0
2026-03-28,USD,18.5341
2026-03-28,EUR,22.0
2026-03-29,USD,18.3814
2026-03-29,EUR,22.0
2026-03-30,USD,18.5896
2026-03-30,EUR,21.8733
2026-03-31,USD,18.48
2026-03-31,EUR,21.9689
