venta_id,fecha_hora,tienda_id,sku,cantidad,monto,moneda,tipo_comprobante
V00000039,2024-10-01 14:44:49,T016,CN-00014,1,350.33,MXN,I
V00000040,2024-10-01 11:22:34,T008,CN-00006,1,198.65,MXN,I
V00000041,2024-10-01 12:00:54,T033,CN-00044,1,249.59,MXN,I
V00000042,2024-10-01 07:40:57,T028,CN-00047,1,503.87,MXN,I
V00000043,2024-10-01 17:46:33,T028,CN-00023,1,153.84,MXN,E
V00000044,2024-10-01 10:29:27,T035,CN-00062,3,499.79,MXN,I
V00000045,2024-10-01 07:53:59,T021,CN-00032,2,206.21,MXN,I
V00000046,2024-10-01 12:36:39,T016,CN-00060,1,193.15,MXN,I
V00000047,2024-10-01 11:11:31,T032,CN-00042,1,89.77,MXN,I
V00000048,2024-10-01 15:56:38,T022,CN-00036,3,925.87,MXN,I
V00000049,2024-10-01 17:12:05,T001,CN-00067,3,869.86,MXN,I
V00000050,2024-10-01 18:44:30,T036,CN-00031,2,1078.04,MXN,I
V00000051,2024-10-01 13:18:14,T002,CN-00012,3,391.64,MXN,I
V00000052,2024-10-01 11:30:35,T038,CN-00048,1,24.44,MXN,I
V00000053,2024-10-01 11:22:44,T036,CN-00043,1,181.98,MXN,I
V00000054,2024-10-01 07:46:12,T015,CN-00016,2,176.3,MXN,I
V00000055,2024-10-01 14:13:47,T012,CN-00025,1,49.48,MXN,I
V00000056,2024-10-01 14:06:53,T034,CN-00037,1,218.16,MXN,I
V00000057,2024-10-01 12:00:45,T012,CN-00039,1,780.21,MXN,I
V00000058,2024-10-01 09:44:08,T004,CN-00038,1,347.71,MXN,I
V00000059,2024-10-01 18:36:18,T007,CN-00002,5,654.34,MXN,I
V00000060,2024-10-01 12:16:55,T012,CN-00007,4,1034.35,MXN,I
V00000061,2024-10-01 07:04:36,T026,CN-00063,1,81.73,MXN,I
V00000062,2024-10-01 13:05:15,T010,CN-00039,1,812.69,MXN,I
V00000063,2024-10-01 11:49:33,T039,CN-00029,1,644.31,MXN,I
V00000064,2024-10-01 14:19:36,T020,CN-00055,1,631.96,MXN,I
V00000065,2024-10-01 11:40:13,T007,CN-00027,1,87.0,MXN,I
V00000066,2024-10-01 14:35:04,T016,CN-00023,1,155.65,MXN,I
V00000067,2024-10-01 12:18:02,T039,CN-00061,1,299.57,MXN,I
V00000068,2024-10-01 09:43:14,T030,CN-00010,1,368.24,MXN,I
V00000069,2024-10-01 16:27:07,T038,CN-00026,1,157.34,MXN,I
V00000070,2024-10-01 18:04:03,T018,CN-00019,1,267.12,MXN,I
V00000071,2024-10-01 18:28:07,T037,CN-00037,1,219.58,MXN,I
V00000072,2024-10-01 11:32:34,T026,CN-00035,1,134.98,MXN,I
V00000073,2024-10-01 16:47:20,T003,CN-00056,1,15.7,MXN,I
V00000074,2024-10-01 19:48:43,T015,CN-00003,1,162.87,MXN,I
V00000075,2024-10-01 16:33:41,T012,CN-00061,1,289.05,MXN,I
V00000076,2024-10-01 15:40:52,T038,CN-00056,1,15.79,MXN,I
V00000077,2024-10-01 08:21:20,T023,CN-00053,1,143.48,MXN,I
V00000078,2024-10-01 15:44:31,T022,CN-00053,1,144.49,MXN,I
V00000079,2024-10-01 12:29:05,T036,CN-00005,1,20.07,MXN,I
V00000080,2024-10-01 11:52:00,T026,CN-00066,1,58.05,MXN,I
V00000081,2024-10-01 15:12:33,T027,CN-00007,1,257.21,MXN,I
V00000082,2024-10-01 18:13:17,T029,CN-00007,2,521.6,MXN,I
V00000083,2024-10-01 21:07:01,T029,CN-00063,1,85.66,MXN,E
V00000084,2024-10-01 07:19:35,T016,CN-00021,1,25.47,MXN,I
V00000085,2024-10-01 17:29:07,T015,CN-00015,1,352.38,MXN,I
V00000086,2024-10-01 15:45:17,T019,CN-00066,1,57.77,MXN,I
V00000087,2024-10-01 17:29:35,T031,CN-00032,1,97.35,MXN,I
V00000088,2024-10-01 13:47:56,T039,CN-00066,1,55.78,MXN,I
V00000089,2024-10-01 16:59:50,T027,CN-00044,1,256.46,MXN,I
V00000090,2024-10-01 13:53:37,T019,CN-00039,1,805.77,MXN,I
V00000091,2024-10-01 08:34:30,T010,CN-00058,1,77.4,MXN,I
V00000092,2024-10-01 15:29:59,T035,CN-00049,1,85.51,MXN,I
V00000093,2024-10-01 09:14:54,T016,CN-00050,1,87.66,MXN,I
V00000094,2024-10-01 16:24:42,T031,CN-00049,1,88.9,MXN,I
V00000095,2024-10-01 18:02:08,T010,CN-00064,2,170.62,MXN,I
V00000096,2024-10-01 09:06:33,T007,CN-00057,1,178.17,MXN,I
V00000097,2024-10-01 13:55:41,T010,CN-00053,1,134.39,MXN,E
V00000098,2024-10-01 16:39:44,T017,CN-00044,1,241.06,MXN,I
V00000099,2024-10-01 12:24:20,T022,CN-00069,1,374.78,MXN,I
V00000100,2024-10-01 21:02:39,T032,CN-00070,2,760.83,MXN,I
V00000101,2024-10-01 13:47:05,T019,CN-00030,1,217.77,MXN,I
V00000102,2024-10-01 09:10:44,T007,CN-00057,1,178.39,MXN,I
V00000103,2024-10-01 16:18:22,T021,CN-00008,1,37.41,MXN,I
V00000104,2024-10-01 12:36:43,T034,CN-00053,1,135.49,MXN,I
V00000105,2024-10-01 15:39:43,T006,CN-00049,5,454.06,MXN,I
V00000106,2024-10-01 11:29:40,T010,CN-00030,4,882.87,MXN,I
V00000107,2024-10-01 16:57:18,T001,CN-00060,1,190.24,MXN,I
V00000108,2024-10-01 09:37:19,T029,CN-00045,2,196.72,MXN,I
V00000109,2024-10-01 10:54:19,T017,CN-00059,1,252.43,MXN,I
V00000110,2024-10-01 15:15:24,T031,CN-00014,4,1388.74,MXN,I
V00000111,2024-10-01 20:53:42,T019,CN-00003,1,155.2,MXN,I
V00000112,2024-10-01 17:53:57,T004,CN-00064,1,86.62,MXN,I
V00000113,2024-10-01 13:14:40,T015,CN-00046,2,1043.91,MXN,I
V00000114,2024-10-01 09:57:40,T009,CN-00013,1,197.45,MXN,I
V00000115,2024-10-01 18:37:23,T029,CN-00005,1,19.68,MXN,I
V00000116,2024-10-01 14:47:26,T019,CN-00042,2,169.83,MXN,I
V00000117,2024-10-01 14:33:32,T035,CN-00047,3,1526.86,MXN,I
V00000118,2024-10-01 18:51:18,T017,CN-00062,1,163.1,MXN,I
V00000119,2024-10-01 13:04:09,T008,CN-00060,1,191.34,MXN,I
V00000120,2024-10-01 13:05:50,T026,CN-00047,1,485.59,MXN,I
V00000121,2024-10-01 13:23:43,T008,CN-00059,1,249.83,MXN,I
V00000122,2024-10-01 13:06:43,T025,CN-00048,1,23.62,MXN,I
V00000123,2024-10-01 09:58:39,T036,CN-00042,1,84.41,MXN,I
V00000124,2024-10-01 07:41:26,T030,CN-00039,1,765.04,MXN,I
V00000125,2024-10-01 14:31:07,T003,CN-00039,1,820.83,MXN,I
V00000126,2024-10-01 09:29:23,T009,CN-00050,1,92.97,MXN,I
V00000127,2024-10-01 11:37:47,T035,CN-00054,1,118.16,MXN,I
V00000128,2024-10-01 15:39:26,T007,CN-00063,2,166.67,MXN,I
V00000129,2024-10-01 07:28:28,T024,CN-00028,1,397.28,MXN,I
V00000130,2024-10-01 21:34:57,T007,CN-00048,1,24.31,MXN,E
V00000131,2024-10-01 20:12:07,T026,CN-00036,1,322.98,MXN,I
V00000132,2024-10-01 13:41:40,T006,CN-00028,1,370.46,MXN,I
V00000133,2024-10-01 14:08:50,T022,CN-00032,1,96.33,MXN,I
V00000134,2024-10-01 11:37:13,T036,CN-00027,2,176.28,MXN,I
V00000135,2024-10-01 07:17:54,T010,CN-00001,1,77.55,MXN,E
V00000136,2024-10-01 09:51:11,T035,CN-00033,1,272.96,MXN,I
V00000137,2024-10-01 19:22:50,T009,CN-00002,1,132.49,MXN,I
V00000138,2024-10-01 14:16:03,T002,CN-00023,1,155.81,MXN,I
V00000139,2024-10-01 07:30:28,T008,CN-00009,1,618.15,MXN,I
V00000140,2024-10-01 14:32:14,T007,CN-00058,1,74.14,MXN,I
V00000141,2024-10-02 19:29:41,T034,CN-00039,1,766.07,MXN,E
V00000142,2024-10-02 12:27:43,T031,CN-00052,1,172.83,MXN,I
V00000143,2024-10-02 20:57:05,T029,CN-00010,1,349.08,MXN,I
V00000144,2024-10-02 07:39:40,T009,CN-00036,1,320.05,MXN,I
V00000145,2024-10-02 12:18:29,T025,CN-00068,1,38.81,MXN,I
V00000146,2024-10-02 19:27:28,T008,CN-00028,1,383.08,MXN,I
V00000147,2024-10-02 18:26:46,T030,CN-00052,1,168.79,MXN,I
V00000148,2024-10-02 13:09:43,T017,CN-00048,1,23.71,MXN,I
V00000149,2024-10-02 21:27:06,T006,CN-00012,2,263.97,MXN,I
V00000150,2024-10-02 12:37:35,T009,CN-00008,1,39.09,MXN,I
V00000151,2024-10-02 13:55:42,T027,CN-00046,1,529.61,MXN,I
V00000152,2024-10-02 07:38:19,T004,CN-00037,4,898.71,MXN,I
V00000153,2024-10-02 18:42:30,T014,CN-00020,1,581.53,MXN,I
V00000154,2024-10-02 15:07:48,T036,CN-00048,1,24.03,MXN,I
V00000155,2024-10-02 13:38:59,T028,CN-00004,1,699.03,MXN,I
V00000156,2024-10-02 11:17:44,T002,CN-00024,4,1348.48,MXN,I
V00000157,2024-10-02 13:11:55,T023,CN-00001,1,75.5,MXN,I
V00000158,2024-10-02 10:47:40,T005,CN-00019,2,524.47,MXN,E
V00000159,2024-10-02 11:24:26,T034,CN-00028,1,374.84,MXN,I
V00000160,2024-10-02 14:49:36,T020,CN-00042,1,90.4,MXN,I
V00000161,2024-10-02 15:48:39,T010,CN-00021,2,49.55,MXN,I
V00000162,2024-10-02 15:31:38,T029,CN-00055,1,614.4,MXN,I
V00000163,2024-10-02 10:22:27,T033,CN-00015,2,736.46,MXN,I
V00000164,2024-10-02 07:33:42,T038,CN-00063,6,497.49,MXN,I
V00000165,2024-10-02 08:00:13,T039,CN-00008,2,75.23,MXN,I
V00000166,2024-10-02 19:18:20,T009,CN-00033,1,264.82,MXN,I
V00000167,2024-10-02 11:08:24,T028,CN-00023,2,306.63,MXN,I
V00000168,2024-10-02 13:04:25,T036,CN-00046,1,512.7,MXN,I
V00000169,2024-10-02 16:58:04,T002,CN-00059,2,512.98,MXN,I
V00000170,2024-10-02 12:45:40,T037,CN-00052,1,164.38,MXN,I
V00000171,2024-10-02 16:10:51,T002,CN-00042,1,87.31,MXN,I
V00000172,2024-10-02 11:27:54,T024,CN-00012,3,398.06,MXN,I
V00000173,2024-10-02 10:05:25,T026,CN-00068,4,159.33,MXN,I
V00000174,2024-10-02 20:49:10,T015,CN-00043,4,748.07,MXN,I
V00000175,2024-10-02 17:12:57,T034,CN-00066,1,57.13,MXN,I
V00000176,2024-10-02 17:06:09,T010,CN-00031,1,524.76,MXN,I
V00000177,2024-10-02 08:11:49,T010,CN-00010,2,717.07,MXN,I
V00000178,2024-10-02 10:43:59,T037,CN-00058,2,155.97,MXN,I
V00000179,2024-10-02 12:55:40,T040,CN-00042,1,87.16,MXN,I
V00000180,2024-10-02 11:40:19,T031,CN-00057,1,187.09,MXN,I
V00000181,2024-10-02 16:04:19,T023,CN-00065,1,193.89,MXN,I
V00000182,2024-10-02 15:04:41,T024,CN-00037,1,229.84,MXN,I
V00000183,2024-10-02 18:24:29,T040,CN-00065,1,209.29,MXN,I
V00000184,2024-10-02 11:58:51,T003,CN-00058,1,75.07,MXN,I
V00000185,2024-10-02 13:32:09,T039,CN-00061,2,586.55,MXN,E
V00000186,2024-10-02 17:32:41,T022,CN-00011,1,28.02,MXN,I
V00000187,2024-10-02 11:33:33,T029,CN-00057,4,734.27,MXN,I
V00000188,2024-10-02 10:26:49,T019,CN-00050,6,551.2,MXN,I
V00000189,2024-10-02 18:21:06,T022,CN-00009,1,611.64,MXN,I
V00000190,2024-10-02 07:21:05,T017,CN-00020,2,1166.38,MXN,I
V00000191,2024-10-02 19:41:44,T023,CN-00040,3,155.43,MXN,I
V00000192,2024-10-02 11:35:24,T006,CN-00040,1,52.7,MXN,I
V00000193,2024-10-02 12:05:41,T009,CN-00068,1,39.06,MXN,I
V00000194,2024-10-02 18:19:11,T002,CN-00047,1,488.78,MXN,I
V00000195,2024-10-02 16:14:08,T032,CN-00025,1,47.74,MXN,I
V00000196,2024-10-02 07:49:34,T007,CN-00065,4,832.42,MXN,I
V00000197,2024-10-02 09:56:49,T003,CN-00044,3,755.45,MXN,I
V00000198,2024-10-02 13:11:53,T010,CN-00021,1,25.94,MXN,I
V00000199,2024-10-02 16:02:26,T011,CN-00057,7,1323.5,MXN,I
V00000200,2024-10-02 14:48:47,T029,CN-00037,1,218.28,MXN,I
V00000201,2024-10-02 13:51:50,T016,CN-00040,1,54.96,MXN,I
V00000202,2024-10-02 11:29:49,T024,CN-00057,1,183.85,MXN,I
V00000203,2024-10-02 20:10:52,T034,CN-00054,1,115.48,MXN,I
V00000204,2024-10-02 12:41:30,T017,CN-00007,1,252.97,MXN,I
V00000205,2024-10-02 16:54:07,T007,CN-00067,1,298.64,MXN,I
V00000206,2024-10-02 12:57:32,T018,CN-00058,1,76.67,MXN,I
V00000207,2024-10-02 07:56:22,T015,CN-00058,1,76.52,MXN,I
V00000208,2024-10-02 07:23:15,T026,CN-00065,1,194.63,MXN,I
V00000209,2024-10-02 14:20:59,T015,CN-00004,2,1400.49,MXN,I
V00000210,2024-10-02 15:08:02,T022,CN-00019,1,278.93,MXN,I
V00000211,2024-10-02 18:28:39,T009,CN-00061,1,284.16,MXN,I
V00000212,2024-10-02 12:53:09,T017,CN-00028,4,1572.64,MXN,I
V00000213,2024-10-02 11:07:49,T034,CN-00055,2,1231.72,MXN,I
V00000214,2024-10-02 14:26:40,T004,CN-00031,6,3225.03,MXN,I
V00000215,2024-10-02 08:38:34,T008,CN-00064,1,84.78,MXN,I
V00000216,2024-10-02 14:18:27,T016,CN-00019,5,1340.7,MXN,I
V00000217,2024-10-02 14:11:42,T037,CN-00054,1,114.7,MXN,I
V00000218,2024-10-02 12:33:34,T024,CN-00009,1,642.6,MXN,I
V00000219,2024-10-02 12:24:55,T036,CN-00003,3,491.0,MXN,I
V00000220,2024-10-02 19:47:01,T024,CN-00033,2,510.66,MXN,I
V00000221,2024-10-02 14:49:37,T016,CN-00014,4,1360.87,MXN,I
V00000222,2024-10-02 11:34:21,T003,CN-00046,2,1037.2,MXN,I
V00000223,2024-10-02 07:40:11,T030,CN-00062,1,159.3,MXN,I
V00000224,2024-10-02 07:18:12,T030,CN-00005,4,79.44,MXN,I
V00000225,2024-10-02 15:59:19,T003,CN-00041,1,80.66,MXN,I
V00000226,2024-10-02 09:16:02,T035,CN-00061,1,286.91,MXN,I
V00000227,2024-10-02 11:55:41,T023,CN-00007,1,243.95,MXN,I
V00000228,2024-10-02 13:56:25,T024,CN-00056,1,16.89,MXN,I
V00000229,2024-10-02 19:11:31,T025,CN-00044,2,494.06,MXN,I
V00000230,2024-10-02 17:51:05,T034,CN-00035,1,134.96,MXN,I
V00000231,2024-10-02 13:34:18,T039,CN-00024,1,314.28,MXN,I
V00000232,2024-10-02 18:28:38,T019,CN-00040,1,51.98,MXN,I
V00000233,2024-10-02 16:28:02,T029,CN-00045,1,102.38,MXN,I
V00000234,2024-10-02 07:17:40,T040,CN-00056,1,16.96,MXN,E
V00000235,2024-10-02 18:23:32,T005,CN-00052,1,172.36,MXN,I
V00000236,2024-10-02 13:54:38,T002,CN-00019,3,810.21,MXN,I
V00000237,2024-10-02 07:15:49,T009,CN-00009,2,1220.76,MXN,I
V00000238,2024-10-02 16:38:09,T037,CN-00005,1,21.13,MXN,I
V00000239,2024-10-02 14:48:04,T024,CN-00057,4,744.52,MXN,I
V00000240,2024-10-02 12:41:17,T026,CN-00041,1,75.0,MXN,I
V00000241,2024-10-02 16:33:24,T012,CN-00064,1,81.97,MXN,I
V00000242,2024-10-02 12:13:39,T017,CN-00058,1,79.74,MXN,I
V00000243,2024-10-02 14:07:08,T032,CN-00026,1,154.8,MXN,I
V00000244,2024-10-02 12:51:43,T029,CN-00012,1,138.81,MXN,E
V00000245,2024-10-02 12:35:34,T023,CN-00009,1,607.18,MXN,I
V00000246,2024-10-02 08:50:23,T011,CN-00023,1,151.9,MXN,I
V00000247,2024-10-02 14:15:50,T013,CN-00018,1,235.13,MXN,I
V00000248,2024-10-02 21:29:51,T037,CN-00048,3,71.51,MXN,E
V00000249,2024-10-02 11:19:25,T006,CN-00009,1,628.73,MXN,T
V00000250,2024-10-02 09:49:26,T034,CN-00053,1,134.38,MXN,I
V00000251,2024-10-02 10:28:29,T021,CN-00010,1,354.96,MXN,I
V00000252,2024-10-02 07:49:08,T036,CN-00024,1,336.83,MXN,I
V00000253,2024-10-02 12:33:09,T004,CN-00016,1,83.97,MXN,I
V00000254,2024-10-02 12:33:57,T015,CN-00045,1,95.51,MXN,I
V00000255,2024-10-02 13:08:40,T013,CN-00036,2,630.73,MXN,I
V00000256,2024-10-02 16:37:37,T033,CN-00022,1,172.22,MXN,I
V00000257,2024-10-02 10:53:59,T039,CN-00044,2,513.12,MXN,I
V00000258,2024-10-02 10:02:41,T002,CN-00011,1,28.06,MXN,I
V00000259,2024-10-02 08:39:40,T014,CN-00054,1,118.19,MXN,I
V00000260,2024-10-02 10:41:19,T035,CN-00038,1,349.19,MXN,I
V00000261,2024-10-02 07:29:04,T026,CN-00039,2,1545.02,MXN,I
V00000262,2024-10-02 16:29:13,T027,CN-00062,1,160.41,MXN,I
V00000263,2024-10-02 09:25:08,T021,CN-00045,3,297.33,MXN,I
V00000264,2024-10-02 09:15:29,T007,CN-00041,1,77.18,MXN,I
V00000265,2024-10-02 13:03:18,T010,CN-00013,1,206.74,MXN,I
V00000266,2024-10-02 09:55:57,T027,CN-00032,1,98.49,MXN,I
V00000267,2024-10-02 09:12:48,T037,CN-00041,1,80.7,MXN,I
V00000268,2024-10-02 08:56:19,T030,CN-00064,1,81.78,MXN,I
V00000269,2024-10-02 10:29:15,T026,CN-00065,1,199.19,MXN,I
V00000270,2024-10-02 13:31:38,T004,CN-00037,1,226.1,MXN,I
V00000271,2024-10-02 16:34:00,T031,CN-00037,1,221.94,MXN,I
V00000272,2024-10-02 09:48:25,T017,CN-00047,2,982.42,MXN,I
V00000273,2024-10-02 12:23:35,T037,CN-00025,1,48.11,MXN,I
V00000274,2024-10-02 11:52:39,T029,CN-00036,1,304.5,MXN,I
V00000275,2024-10-02 19:23:50,T007,CN-00051,1,486.29,MXN,E
V00000276,2024-10-02 18:12:38,T024,CN-00019,1,271.47,MXN,I
V00000277,2024-10-02 07:08:45,T003,CN-00005,1,20.33,MXN,I
V00000278,2024-10-02 13:38:57,T030,CN-00020,1,592.53,MXN,I
V00000279,2024-10-02 13:10:25,T040,CN-00041,1,79.05,MXN,P
V00000280,2024-10-02 11:32:53,T020,CN-00044,1,249.58,MXN,I
V00000281,2024-10-02 10:30:52,T037,CN-00039,1,783.99,MXN,I
V00000282,2024-10-02 09:37:19,T008,CN-00054,1,116.63,MXN,I
V00000283,2024-10-02 10:16:41,T002,CN-00061,3,903.8,MXN,I
V00000284,2024-10-02 07:46:03,T037,CN-00030,1,219.13,MXN,I
V00000285,2024-10-02 15:09:52,T040,CN-00049,6,506.19,MXN,I
V00000286,2024-10-02 14:01:28,T008,CN-00025,1,47.16,MXN,I
V00000287,2024-10-02 12:32:49,T014,CN-00053,3,416.99,MXN,I
V00000288,2024-10-02 10:33:13,T004,CN-00018,2,495.53,MXN,I
V00000289,2024-10-02 10:24:20,T031,CN-00068,1,38.9,MXN,E
V00000290,2024-10-02 21:34:22,T035,CN-00044,3,772.34,MXN,I
V00000291,2024-10-03 19:12:15,T017,CN-00062,1,162.55,MXN,I
V00000292,2024-10-03 14:45:13,T020,CN-00037,1,223.02,MXN,I
V00000293,2024-10-03 07:35:59,T031,CN-00045,1,100.81,MXN,I
V00000294,2024-10-03 07:36:43,T019,CN-00016,1,89.25,MXN,I
V00000295,2024-10-03 16:49:51,T026,CN-00045,1,95.21,MXN,I
V00000296,2024-10-03 21:59:28,T006,CN-00045,1,101.03,MXN,I
V00000297,2024-10-03 07:52:34,T014,CN-00026,1,156.23,MXN,I
V00000298,2024-10-03 10:06:39,T018,CN-00018,1,232.72,MXN,I
V00000299,2024-10-03 16:14:40,T004,CN-00068,1,37.73,MXN,I
V00000300,2024-10-03 10:06:43,T022,CN-00061,2,564.69,MXN,I
V00000301,2024-10-03 21:26:41,T036,CN-00021,1,26.48,MXN,I
V00000302,2024-10-03 13:48:18,T031,CN-00026,1,157.31,MXN,I
V00000303,2024-10-03 13:34:47,T006,CN-00030,1,233.51,MXN,I
V00000304,2024-10-03 14:56:53,T012,CN-00054,1,118.48,MXN,I
V00000305,2024-10-03 19:11:59,T026,CN-00064,2,174.6,MXN,I
V00000306,2024-10-03 10:00:19,T019,CN-00005,1,19.7,MXN,I
V00000307,2024-10-03 15:29:41,T022,CN-00037,1,223.12,MXN,I
V00000308,2024-10-03 15:29:17,T009,CN-00065,1,195.15,MXN,I
V00000309,2024-10-03 17:41:16,T011,CN-00059,1,244.56,MXN,I
V00000310,2024-10-03 11:36:43,T022,CN-00038,1,331.33,MXN,I
V00000311,2024-10-03 16:32:20,T026,CN-00055,2,1270.14,MXN,I
V00000312,2024-10-03 10:30:20,T012,CN-00018,1,228.11,MXN,I
V00000313,2024-10-03 07:28:48,T025,CN-00031,1,531.77,MXN,I
V00000314,2024-10-03 07:16:41,T038,CN-00002,2,257.26,MXN,I
V00000315,2024-10-03 13:19:10,T008,CN-00060,3,587.59,MXN,I
V00000316,2024-10-03 16:40:58,T020,CN-00016,1,85.45,MXN,I
V00000317,2024-10-03 13:08:30,T015,CN-00029,1,635.96,MXN,I
V00000318,2024-10-03 13:26:44,T039,CN-00048,1,24.54,MXN,I
V00000319,2024-10-03 15:48:15,T035,CN-00028,1,388.93,MXN,I
V00000320,2024-10-03 15:28:33,T006,CN-00068,1,37.66,MXN,I
V00000321,2024-10-03 17:03:53,T037,CN-00015,1,363.01,MXN,I
V00000322,2024-10-03 11:09:10,T037,CN-00069,3,1091.03,MXN,I
V00000323,2024-10-03 14:45:37,T008,CN-00027,1,93.14,MXN,I
V00000324,2024-10-03 19:29:08,T029,CN-00008,1,38.41,MXN,I
V00000325,2024-10-03 14:43:51,T004,CN-00060,3,564.05,MXN,I
V00000326,2024-10-03 18:47:13,T017,CN-00001,1,71.7,MXN,I
V00000327,2024-10-03 11:34:03,T023,CN-00009,1,595.3,MXN,I
V00000328,2024-10-03 16:18:26,T031,CN-00005,1,19.75,MXN,I
V00000329,2024-10-03 16:57:24,T027,CN-00048,1,25.45,MXN,I
V00000330,2024-10-03 07:05:43,T025,CN-00049,1,90.53,MXN,E
V00000331,2024-10-03 14:07:11,T009,CN-00045,1,98.1,MXN,P
V00000332,2024-10-03 13:53:00,T009,CN-00029,1,647.94,MXN,I
V00000333,2024-10-03 16:27:34,T030,CN-00070,1,367.82,MXN,I
V00000334,2024-10-03 13:09:17,T030,CN-00045,1,102.08,MXN,I
V00000335,2024-10-03 21:51:42,T008,CN-00005,1,20.82,MXN,I
V00000336,2024-10-03 20:13:04,T002,CN-00031,1,518.47,MXN,I
V00000337,2024-10-03 15:15:47,T039,CN-00007,3,751.64,MXN,I
V00000338,2024-10-03 14:48:55,T035,CN-00028,1,374.28,MXN,I
V00000339,2024-10-03 08:52:58,T019,CN-00030,1,221.91,MXN,I
V00000340,2024-10-03 13:15:19,T039,CN-00042,1,91.15,MXN,I
V00000341,2024-10-03 13:26:19,T034,CN-00029,3,1878.13,MXN,I
V00000342,2024-10-03 21:40:43,T038,CN-00023,1,156.79,MXN,I
V00000343,2024-10-03 15:50:33,T023,CN-00049,1,87.18,MXN,I
V00000344,2024-10-03 17:24:11,T010,CN-00039,1,793.41,MXN,I
V00000345,2024-10-03 10:54:45,T015,CN-00039,1,792.72,MXN,I
V00000346,2024-10-03 16:26:35,T004,CN-00053,1,138.03,MXN,I
V00000347,2024-10-03 07:21:41,T017,CN-00027,3,269.3,MXN,I
V00000348,2024-10-03 18:34:46,T024,CN-00012,1,128.42,MXN,I
V00000349,2024-10-03 09:55:04,T025,CN-00006,1,205.19,MXN,I
V00000350,2024-10-03 08:30:13,T036,CN-00028,1,380.48,MXN,I
V00000351,2024-10-03 12:59:12,T001,CN-00028,1,373.55,MXN,E
V00000352,2024-10-03 16:44:38,T031,CN-00032,1,99.07,MXN,I
V00000353,2024-10-03 12:49:18,T016,CN-00042,1,87.85,MXN,I
V00000354,2024-10-03 08:16:23,T023,CN-00040,1,53.45,MXN,I
V00000355,2024-10-03 15:48:53,T007,CN-00061,4,1148.82,MXN,I
